,Player,Weekly Salary,Annual Salary,Team,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,xG,npxG,xA,npxG+xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA.1,Played,Won,Drawn,Lost,Goals For,Goals Against,Goal Difference,Points,Performance Score,Goals_per_1k,xG_per_1k,Assists_per_1k,G+A_per_1k
152,Vitaly Janelt,30000,1665986,Brentford,de GER,MF,23.0,31.0,27.0,2298.0,25.5,4.0,0.0,4.0,0.0,0.0,3.0,0.0,0.16,0.0,0.16,0.16,0.16,2.6,2.6,2.2,4.8,0.1,0.09,0.19,0.1,0.19,38.0,13.0,7.0,18.0,48.0,56.0,-8.0,46.0,22.6,0.002400980560460892,0.00156063736429958,0.0,9.603922241843569e-05
153,Marvelous Nakamba,30000,1665986,Aston Villa,zw ZIM,MF,27.0,16.0,10.0,904.0,10.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.01,0.01,0.0,0.01,38.0,13.0,6.0,19.0,52.0,54.0,-2.0,45.0,-4.8,0.0,0.0,0.0,0.0
154,Christian Eriksen,30000,1665986,Brentford,dk DEN,MF,29.0,11.0,10.0,939.0,10.4,1.0,4.0,1.0,0.0,0.0,1.0,0.0,0.1,0.38,0.48,0.1,0.48,1.4,1.4,3.6,5.0,0.14,0.34,0.48,0.14,0.48,38.0,13.0,7.0,18.0,48.0,56.0,-8.0,46.0,25.0,0.000600245140115223,0.0008403431961613121,0.002400980560460892,0.00028811766725530706
155,Conor Gallagher,30000,1665986,Crystal Palace,eng ENG,MF,21.0,34.0,33.0,2845.0,31.6,8.0,3.0,8.0,0.0,0.0,10.0,0.0,0.25,0.09,0.35,0.25,0.35,5.8,5.8,3.5,9.3,0.18,0.11,0.29,0.18,0.29,38.0,11.0,15.0,12.0,50.0,46.0,4.0,48.0,49.6,0.004801961120921784,0.0034814218126682935,0.001800735420345669,0.00021008579904032804
156,Folarin Balogun,30000,1665986,Arsenal,eng ENG,FW,20.0,2.0,1.0,70.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.35,0.0,0.35,0.35,0.35,38.0,22.0,3.0,13.0,61.0,48.0,13.0,69.0,0.6,0.0,0.0001800735420345669,0.0,0.0
157,Kalvin Phillips,30000,1665986,Leeds United,eng ENG,MF,25.0,20.0,18.0,1596.0,17.7,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.06,0.06,0.0,0.06,0.6,0.6,0.2,0.9,0.04,0.01,0.05,0.04,0.05,38.0,9.0,11.0,18.0,42.0,79.0,-37.0,38.0,0.6000000000000005,0.0,0.0003601470840691338,0.000600245140115223,3.601470840691338e-05
158,Mateusz Klich,25000,1388322,Leeds United,pl POL,MF,31.0,33.0,26.0,2073.0,23.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,0.04,0.09,0.13,0.04,0.13,2.7,2.7,2.2,4.9,0.12,0.09,0.21,0.12,0.21,38.0,9.0,11.0,18.0,42.0,79.0,-37.0,38.0,14.8,0.0007202939951970797,0.0019447937870321153,0.0014405879903941594,9.363821937562036e-05
159,Tom Davies,25000,1388322,Everton,eng ENG,MF,23.0,6.0,2.0,234.0,2.6,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.38,0.0,0.38,0.38,0.38,0.9,0.9,0.0,0.9,0.35,0.0,0.35,0.35,0.35,38.0,11.0,6.0,21.0,43.0,66.0,-23.0,39.0,4.8,0.0007202939951970797,0.0006482645956773718,0.0,0.00027371171817489027
160,Frank Onyeka,25000,1388322,Brentford,ng NGA,MF,23.0,20.0,12.0,1045.0,11.6,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,0.2,1.3,0.1,0.02,0.11,0.1,0.11,38.0,13.0,7.0,18.0,48.0,56.0,-8.0,46.0,-1.4,0.0,0.0007923233947167877,0.0,0.0
161,Kenny McLean,25000,1388322,Norwich City,sct SCO,MF,29.0,31.0,29.0,2706.0,30.1,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.03,0.0,0.03,0.03,0.03,1.9,1.9,0.7,2.6,0.06,0.02,0.09,0.06,0.09,38.0,5.0,7.0,26.0,23.0,84.0,-61.0,22.0,6.199999999999999,0.0007202939951970797,0.0013685585908744513,0.0,2.160881985591239e-05
162,Demarai Gray,25000,1388322,Everton,eng ENG,"MF,FW",25.0,34.0,28.0,2338.0,26.0,5.0,4.0,5.0,0.0,0.0,3.0,0.0,0.19,0.15,0.35,0.19,0.35,4.5,4.5,4.3,8.8,0.17,0.16,0.34,0.17,0.34,38.0,11.0,6.0,21.0,43.0,66.0,-23.0,39.0,46.6,0.0036014699759853983,0.0032413229783868585,0.0028811759807883188,0.0002521028983189779
163,Teemu Pukki,25000,1388322,Norwich City,fi FIN,FW,31.0,37.0,37.0,3253.0,36.1,11.0,3.0,8.0,3.0,3.0,4.0,0.0,0.3,0.08,0.39,0.22,0.3,11.5,9.2,2.8,12.0,0.32,0.08,0.4,0.26,0.33,38.0,5.0,7.0,26.0,23.0,84.0,-61.0,22.0,73.0,0.007923233947167877,0.008283380944766416,0.002160881985591239,0.0002809146581268611
164,Todd Cantwell,25000,1388322,Norwich City,eng ENG,"FW,MF",23.0,8.0,5.0,441.0,4.9,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.4,0.03,0.04,0.07,0.03,0.07,38.0,5.0,7.0,26.0,23.0,84.0,-61.0,22.0,-1.2,0.0,0.00014405879903941595,0.0,0.0
165,Lukas Rupp,22500,1249489,Norwich City,de GER,MF,30.0,19.0,7.0,769.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,1.2,1.9,0.08,0.14,0.22,0.08,0.22,38.0,5.0,7.0,26.0,23.0,84.0,-61.0,22.0,3.8,0.0,0.0005602290216240399,0.0,0.0
166,Juraj Kucka,22115,1228131,Watford,sk SVK,MF,34.0,26.0,22.0,1920.0,21.3,1.0,1.0,1.0,0.0,0.0,5.0,1.0,0.05,0.05,0.09,0.05,0.09,3.1,3.1,0.9,4.1,0.15,0.04,0.19,0.15,0.19,38.0,6.0,5.0,27.0,34.0,77.0,-43.0,23.0,7.0,0.0008142453858749595,0.0025241606962123748,0.0008142453858749595,7.328208472874635e-05
167,Mathias Normann,20385,1132016,Norwich City,no NOR,MF,25.0,23.0,20.0,1645.0,18.3,1.0,2.0,1.0,0.0,0.0,6.0,0.0,0.05,0.11,0.16,0.05,0.16,0.9,0.9,1.8,2.8,0.05,0.1,0.15,0.05,0.15,38.0,5.0,7.0,26.0,23.0,84.0,-61.0,22.0,9.4,0.000883379740215686,0.0007950417661941174,0.001766759480431372,0.00014134075843450975
168,Yoane Wissa,20000,1110657,Brentford,cd COD,"FW,MF",24.0,30.0,12.0,1284.0,14.3,7.0,1.0,7.0,0.0,0.0,0.0,0.0,0.49,0.07,0.56,0.49,0.56,3.7,3.7,0.7,4.4,0.26,0.05,0.31,0.26,0.31,38.0,13.0,7.0,18.0,48.0,56.0,-8.0,46.0,39.8,0.006302575862755108,0.003331361527456272,0.000900367980393587,0.0005042060690204087
169,Ivan Toney,20000,1110657,Brentford,eng ENG,FW,25.0,33.0,32.0,2909.0,32.3,12.0,5.0,7.0,5.0,5.0,8.0,0.0,0.37,0.15,0.53,0.22,0.37,12.0,8.2,5.8,14.0,0.37,0.18,0.55,0.25,0.43,38.0,13.0,7.0,18.0,48.0,56.0,-8.0,46.0,83.0,0.010804415764723043,0.010804415764723043,0.004501839901967935,0.0004771950296086011
170,Adam Forshaw,20000,1110657,Leeds United,eng ENG,MF,29.0,22.0,17.0,1530.0,17.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.06,0.06,0.0,0.06,0.4,0.4,1.1,1.5,0.02,0.07,0.09,0.02,0.09,38.0,9.0,11.0,18.0,42.0,79.0,-37.0,38.0,1.0,0.0,0.00036014719215743477,0.000900367980393587,5.4022078823615216e-05
171,Cole Palmer,20000,1110657,Manchester City,eng ENG,"FW,MF",19.0,4.0,1.0,123.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.5,0.23,0.17,0.39,0.23,0.39,38.0,29.0,6.0,3.0,99.0,26.0,73.0,93.0,1.0,0.0,0.00027011039411807607,0.0,0.0
172,Mathias Jensen,20000,1110657,Brentford,dk DEN,MF,25.0,31.0,19.0,1601.0,17.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,2.5,2.5,3.6,6.1,0.14,0.2,0.34,0.14,0.34,38.0,13.0,7.0,18.0,48.0,56.0,-8.0,46.0,15.2,0.0,0.0022509199509839675,0.000900367980393587,5.4022078823615216e-05
173,Christos Tzolis,19231,1067940,Norwich City,gr GRE,"FW,MF",19.0,14.0,3.0,336.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.4,0.13,0.26,0.38,0.13,0.38,38.0,5.0,7.0,26.0,23.0,84.0,-61.0,22.0,3.0,0.0,0.00046819109687810175,0.0,0.0
174,Oghenekaro Etebo,16538,918428,Watford,ng NGA,MF,25.0,9.0,4.0,401.0,4.5,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.01,0.01,0.02,0.01,0.02,38.0,6.0,5.0,27.0,34.0,77.0,-43.0,23.0,-2.8,0.0,0.0,0.0,0.0
175,Ashley Fletcher,15000,832993,Watford,eng ENG,FW,25.0,3.0,0.0,30.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,1.16,0.0,1.16,1.16,1.16,38.0,6.0,5.0,27.0,34.0,77.0,-43.0,23.0,0.8,0.0,0.00048019611209217843,0.0,0.0
176,Emmanuel Dennis,15000,832993,Watford,ng NGA,"FW,MF",23.0,33.0,30.0,2581.0,28.7,10.0,6.0,10.0,0.0,0.0,9.0,1.0,0.35,0.21,0.56,0.35,0.56,7.5,7.5,3.2,10.7,0.26,0.11,0.37,0.26,0.37,38.0,6.0,5.0,27.0,34.0,77.0,-43.0,23.0,67.4,0.01200490280230446,0.009003677101728346,0.007202941681382676,0.0006722745569290498
177,Ken Sema,15000,832993,Watford,se SWE,"MF,FW",27.0,18.0,7.0,852.0,9.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1.2,1.4,0.02,0.13,0.14,0.02,0.14,38.0,6.0,5.0,27.0,34.0,77.0,-43.0,23.0,1.7999999999999998,0.0,0.00024009805604608921,0.0,0.0
178,Donny van de Beek,120000,6663944,Everton,nl NED,MF,24.0,7.0,5.0,483.0,5.4,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.19,0.0,0.19,0.19,0.19,0.9,0.9,0.1,1.0,0.17,0.01,0.18,0.17,0.18,38.0,11.0,6.0,21.0,43.0,66.0,-23.0,39.0,5.0,0.00015006128502880576,0.00013505515652592517,0.0,2.8511644155473094e-05
179,Dele Alli,100000,5553286,Everton,eng ENG,MF,25.0,11.0,1.0,338.0,3.8,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.4,0.02,0.09,0.11,0.02,0.11,38.0,11.0,6.0,21.0,43.0,66.0,-23.0,39.0,-2.2,0.0,1.800735636522232e-05,0.0,0.0
180,Daniel James,50000,2776643,Manchester United,wls WAL,FW,23.0,2.0,2.0,126.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.3,0.17,0.01,0.19,0.17,0.19,38.0,16.0,10.0,12.0,57.0,57.0,0.0,58.0,0.4,0.0,7.202942546088928e-05,0.0,0.0
181,Anwar El Ghazi,30962,1719383,Everton,nl NED,FW,26.0,2.0,0.0,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,11.0,6.0,21.0,43.0,66.0,-23.0,39.0,0.0,0.0,0.0,0.0,0.0
