,Player,Weekly Salary,Annual Salary,Team,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,xG,npxG,xA,npxG+xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA.1,Played,Won,Drawn,Lost,Goals For,Goals Against,Goal Difference,Points,Performance Score,Goals_per_1k,xG_per_1k,Assists_per_1k,G+A_per_1k
67,Ollie Watkins,75000,4164965,Aston Villa,eng ENG,FW,25.0,35.0,33.0,2952.0,32.8,11.0,2.0,10.0,1.0,1.0,7.0,0.0,0.34,0.06,0.4,0.3,0.37,12.2,11.4,2.9,14.3,0.37,0.09,0.46,0.35,0.44,38.0,13.0,6.0,19.0,52.0,54.0,-2.0,45.0,71.6,0.002641078616506981,0.002929196283762288,0.00048019611209217843,9.603922241843569e-05
68,Leander Dendoncker,75000,4164965,Wolverhampton Wanderers,be BEL,MF,26.0,30.0,21.0,1950.0,21.7,2.0,2.0,2.0,0.0,0.0,4.0,0.0,0.09,0.09,0.18,0.09,0.18,2.6,2.6,0.9,3.5,0.12,0.04,0.16,0.12,0.16,38.0,15.0,6.0,17.0,38.0,43.0,-5.0,51.0,17.0,0.00048019611209217843,0.000624254945719832,0.00048019611209217843,4.321765008829606e-05
69,Rodrigo Bentancur,75000,4164965,Tottenham Hotspur,uy URU,MF,24.0,17.0,16.0,1361.0,15.1,0.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,0.26,0.26,0.0,0.26,0.9,0.9,2.3,3.2,0.06,0.15,0.21,0.06,0.21,38.0,22.0,5.0,11.0,69.0,40.0,29.0,71.0,13.399999999999999,0.0,0.0002160882504414803,0.0009603922241843569,6.242549457198319e-05
70,Jesse Lingard,75000,4164965,Manchester United,eng ENG,"FW,MF",28.0,16.0,2.0,367.0,4.1,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.49,0.0,0.49,0.49,0.49,0.7,0.7,0.4,1.1,0.17,0.1,0.26,0.17,0.26,38.0,16.0,10.0,12.0,57.0,57.0,0.0,58.0,9.200000000000001,0.00048019611209217843,0.00016806863923226245,0.0,0.00011764804746258372
71,Mason Greenwood,75000,4164965,Manchester United,eng ENG,"FW,MF",19.0,18.0,16.0,1271.0,14.1,5.0,1.0,5.0,0.0,0.0,1.0,0.0,0.35,0.07,0.42,0.35,0.42,4.4,4.4,1.6,6.0,0.31,0.11,0.42,0.31,0.42,38.0,16.0,10.0,12.0,57.0,57.0,0.0,58.0,34.0,0.001200490280230446,0.0010564314466027925,0.00024009805604608921,0.00010084118353935746
72,Takumi Minamino,75000,4164965,Liverpool,jp JPN,"FW,MF",26.0,11.0,1.0,186.0,2.1,3.0,0.0,3.0,0.0,0.0,1.0,0.0,1.45,0.0,1.45,1.45,1.45,1.8,1.8,0.5,2.3,0.88,0.25,1.13,0.88,1.13,38.0,28.0,8.0,2.0,94.0,26.0,68.0,92.0,15.600000000000001,0.0007202941681382676,0.0004321765008829606,0.0,0.00034814218126682936
73,Douglas Luiz,75000,4164965,Aston Villa,br BRA,MF,23.0,34.0,31.0,2715.0,30.2,2.0,3.0,2.0,0.0,0.0,7.0,0.0,0.07,0.1,0.17,0.07,0.17,2.0,2.0,2.5,4.5,0.07,0.08,0.15,0.07,0.15,38.0,13.0,6.0,19.0,52.0,54.0,-2.0,45.0,19.0,0.00048019611209217843,0.00048019611209217843,0.0007202941681382676,4.081666952783517e-05
74,Theo Walcott,75000,4164965,Southampton,eng ENG,"MF,FW",32.0,9.0,5.0,379.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.7,0.17,0.01,0.18,0.17,0.18,38.0,9.0,13.0,16.0,43.0,67.0,-24.0,40.0,1.4,0.0,0.00016806863923226245,0.0,0.0
75,Patson Daka,75000,4164965,Leicester City,zm ZAM,FW,22.0,23.0,13.0,1159.0,12.9,5.0,3.0,5.0,0.0,0.0,2.0,0.0,0.39,0.23,0.62,0.39,0.62,4.7,4.7,1.8,6.5,0.36,0.14,0.51,0.36,0.51,38.0,14.0,10.0,14.0,62.0,59.0,3.0,52.0,40.0,0.001200490280230446,0.0011284608634166194,0.0007202941681382676,0.0001488607947485753
76,Steven Bergwijn,75000,4164965,Tottenham Hotspur,nl NED,"FW,MF",23.0,25.0,4.0,565.0,6.3,3.0,1.0,3.0,0.0,0.0,1.0,0.0,0.48,0.16,0.64,0.48,0.64,3.1,3.1,0.7,3.7,0.49,0.11,0.59,0.49,0.59,38.0,22.0,5.0,11.0,69.0,40.0,29.0,71.0,21.599999999999998,0.0007202941681382676,0.0007443039737428766,0.00024009805604608921,0.00015366275586949711
77,Jean-Philippe Gbamin,75000,4164965,Everton,ci CIV,MF,25.0,3.0,1.0,67.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,11.0,6.0,21.0,43.0,66.0,-23.0,39.0,0.0,0.0,0.0,0.0,0.0
78,Giovani Lo Celso,70000,3887300,Tottenham Hotspur,ar ARG,"MF,FW",25.0,9.0,2.0,238.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.6,1.4,0.28,0.24,0.52,0.28,0.52,38.0,22.0,5.0,11.0,69.0,40.0,29.0,71.0,2.5999999999999996,0.0,0.00018007357291693462,0.0,0.0
79,Allan Saint-Maximin,70000,3887300,Newcastle United,fr FRA,"FW,MF",24.0,35.0,31.0,2804.0,31.2,5.0,5.0,5.0,0.0,0.0,6.0,0.0,0.16,0.16,0.32,0.16,0.32,5.1,5.1,5.8,10.9,0.16,0.19,0.35,0.16,0.35,38.0,13.0,10.0,15.0,44.0,62.0,-18.0,49.0,50.800000000000004,0.0012862398065495331,0.0013119646026805236,0.0012862398065495331,8.231934761917011e-05
80,Allan,70000,3887300,Everton,br BRA,MF,30.0,28.0,25.0,2183.0,24.3,0.0,2.0,0.0,0.0,0.0,7.0,1.0,0.0,0.08,0.08,0.0,0.08,0.2,0.2,0.9,1.1,0.01,0.04,0.04,0.01,0.04,38.0,11.0,6.0,21.0,43.0,66.0,-23.0,39.0,-1.799999999999999,0.0,5.144959226198132e-05,0.0005144959226198132,2.0579836904792528e-05
81,Manuel Lanzini,70000,3887300,West Ham United,ar ARG,"MF,FW",28.0,30.0,19.0,1786.0,19.8,5.0,3.0,2.0,3.0,3.0,2.0,0.0,0.25,0.15,0.4,0.1,0.25,3.4,1.1,2.2,3.3,0.17,0.11,0.28,0.06,0.17,38.0,16.0,8.0,14.0,60.0,51.0,9.0,56.0,33.6,0.0012862398065495331,0.0008746430684536824,0.0007717438839297199,0.00010289918452396264
82,Jacob Ramsey,70000,3887300,Aston Villa,eng ENG,MF,20.0,34.0,29.0,2467.0,27.4,6.0,1.0,6.0,0.0,0.0,6.0,0.0,0.22,0.04,0.26,0.22,0.26,3.8,3.8,2.0,5.8,0.14,0.07,0.21,0.14,0.21,38.0,13.0,6.0,19.0,52.0,54.0,-2.0,45.0,32.6,0.0015434877678594397,0.000977542252977645,0.0002572479613099066,6.688446994057572e-05
83,Patrick Bamford,70000,3887300,Leeds United,eng ENG,FW,27.0,9.0,7.0,559.0,6.2,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.32,0.32,0.64,0.32,0.64,3.9,3.9,1.0,4.9,0.63,0.15,0.78,0.63,0.78,38.0,9.0,11.0,18.0,42.0,79.0,-37.0,38.0,21.8,0.0005144959226198132,0.0010032670491086357,0.0005144959226198132,0.00016463869523834022
84,Bukayo Saka,70000,3887300,Arsenal,eng ENG,"FW,MF",19.0,38.0,36.0,2978.0,33.1,11.0,7.0,9.0,2.0,2.0,6.0,0.0,0.33,0.21,0.54,0.27,0.48,9.7,8.2,6.9,15.2,0.29,0.21,0.5,0.25,0.46,38.0,22.0,3.0,13.0,61.0,48.0,13.0,69.0,89.2,0.002829727574408973,0.0024953052247060938,0.0018007357291693464,0.00013891389910734958
85,Jonjo Shelvey,70000,3887300,Newcastle United,eng ENG,MF,29.0,24.0,22.0,1983.0,22.0,2.0,1.0,2.0,0.0,0.0,7.0,1.0,0.09,0.05,0.14,0.09,0.14,0.9,0.9,0.8,1.7,0.04,0.04,0.08,0.04,0.08,38.0,13.0,10.0,15.0,44.0,62.0,-18.0,49.0,4.4,0.0005144959226198132,0.00023152316517891595,0.0002572479613099066,3.6014714583386927e-05
86,Cheikhou Kouyaté,65000,3609636,Crystal Palace,sn SEN,MF,31.0,27.0,23.0,1974.0,21.9,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.05,0.05,0.0,0.05,0.6,0.6,0.7,1.3,0.03,0.03,0.06,0.03,0.06,38.0,11.0,15.0,12.0,50.0,46.0,4.0,48.0,2.5999999999999996,0.0,0.0001662217464586457,0.0002770362440977428,1.3851812204887142e-05
